timestamp,camera_loc,camera_rot
0,466.346 9000.000 711.691,-10.801 0.000 0.000
1,466.346 9000.000 711.691,-10.801 0.000 0.000
2,466.346 9000.000 711.691,-10.801 0.000 0.000
3,466.346 9000.000 711.691,-10.801 0.000 0.000
4,466.346 9000.000 711.691,-10.801 0.000 0.000
5,466.346 9000.000 711.691,-10.801 0.000 0.000
6,466.346 9000.000 711.691,-10.801 0.000 0.000
7,466.346 9000.000 711.691,-10.801 0.000 0.000
8,466.346 9000.000 711.691,-10.801 0.000 0.000
9,466.346 9000.000 711.691,-10.801 0.000 0.000
10,466.346 9000.000 711.691,-10.801 0.000 0.000
11,466.346 9000.000 711.691,-10.801 0.000 0.000
12,466.346 9000.000 711.691,-10.801 0.000 0.000
13,466.346 9000.000 711.691,-10.801 0.000 0.000
14,466.346 9000.000 711.691,-10.801 0.000 0.000
15,466.346 9000.000 711.691,-10.801 0.000 0.000
16,466.346 9000.000 711.691,-10.801 0.000 0.000
17,466.346 9000.000 711.691,-10.801 0.000 0.000
18,466.346 9000.000 711.691,-10.801 0.000 0.000
19,466.346 9000.000 711.691,-10.801 0.000 0.000
20,466.346 9000.000 711.691,-10.801 0.000 0.000
21,466.346 9000.000 711.691,-10.801 0.000 0.000
22,466.346 9000.000 711.691,-10.801 0.000 0.000
23,466.346 9000.000 711.691,-10.801 0.000 0.000
24,466.346 9000.000 711.691,-10.801 0.000 0.000
25,466.346 9000.000 711.691,-10.801 0.000 0.000
26,466.346 9000.000 711.691,-10.801 0.000 0.000
27,466.346 9000.000 711.691,-10.801 0.000 0.000
28,466.346 9000.000 711.691,-10.801 0.000 0.000
29,466.346 9000.000 711.691,-10.801 0.000 0.000
30,466.346 9000.000 711.691,-10.801 0.000 0.000
31,466.346 9000.000 711.691,-10.801 0.000 0.000
32,466.346 9000.000 711.691,-10.801 0.000 0.000
33,466.346 9000.000 711.691,-10.801 0.000 0.000
34,466.346 9000.000 711.691,-10.801 0.000 0.000
35,466.346 9000.000 711.691,-10.801 0.000 0.000
36,466.346 9000.000 711.691,-10.801 0.000 0.000
37,466.346 9000.000 711.691,-10.801 0.000 0.000
38,466.346 9000.000 711.691,-10.801 0.000 0.000
39,466.346 9000.000 711.691,-10.801 0.000 0.000
40,466.346 9000.000 711.691,-10.801 0.000 0.000
41,466.346 9000.000 711.691,-10.801 0.000 0.000
42,466.346 9000.000 711.691,-10.801 0.000 0.000
43,466.346 9000.000 711.691,-10.801 0.000 0.000
44,466.346 9000.000 711.691,-10.801 0.000 0.000
45,466.346 9000.000 711.691,-10.801 0.000 0.000
46,466.346 9000.000 711.691,-10.801 0.000 0.000
47,466.346 9000.000 711.691,-10.801 0.000 0.000
48,466.346 9000.000 711.691,-10.801 0.000 0.000
49,466.346 9000.000 711.691,-10.801 0.000 0.000
